"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:53:04,8007780","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2623","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2623"
"16:53:04,8008117","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8009678","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8010426","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2624","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2624"
"16:53:04,8010764","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8012321","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8013065","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2625","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2625"
"16:53:04,8013402","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8014962","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8015701","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2626","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2626"
"16:53:04,8016036","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
"16:53:04,8017596","cc1.exe","16908","CreateFile","D:\CreateProcess-gcc-issue","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:53:04,8018343","cc1.exe","16908","QueryDirectory","D:\CreateProcess-gcc-issue\Include2627","NO SUCH FILE","FileInformationClass: FileBothDirectoryInformation, Filter: Include2627"
"16:53:04,8018730","cc1.exe","16908","CloseFile","D:\CreateProcess-gcc-issue","SUCCESS",""
